feature,importance
feature_50,2.5944656295985453
feature_35,1.082458220955357
feature_0,0.8100456398556011
feature_36,0.5385112009495497
feature_2,0.13394473321139816
feature_40,0.06721964800438146
feature_39,0.05387920684982094
feature_4,0.04895644476227466
feature_12,0.048730098788090974
feature_3,0.03819514387305827
feature_1,0.03321408129110936
feature_5,0.020851434008590873
feature_15,0.014368199891876422
feature_13,0.013598920795135201
feature_43,0.011783624656172473
feature_18,0.011781968153268098
feature_6,0.010314936331566427
feature_46,0.009159392321482296
feature_32,0.004754524015402422
feature_26,0.004678990367800002
